"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1077","ParaBank @API Test Scenario","chromium","Sun Feb 02 18:09:20 IST 2025","passed","Sun Feb 02 18:09:22 IST 2025","Dependent Tests","paraBankTests.spec.js","",""
"","18462","ParaBank @UI Test Scenario","chromium","Sun Feb 02 18:08:59 IST 2025","passed","Sun Feb 02 18:09:18 IST 2025","Dependent Tests","paraBankTests.spec.js","",""
